,brand,model,model_target_ratings
421,pza,7901,"{'功能': {'提拉': 29.57, '水嫩': 47.96, '污垢': 35.87, '痘印': 24.02, '祛皱': 35.3, '粉刺': 25.69, '紧致': 23.79, '补水': 32.7, '去黑头': 18.46, '法令纹': 22.73, '冷热交替': 0.0}, '服务': {'包装': 61.51, '卖家': 47.31, '客服': 33.91, '态度': 57.15, '有问必答': 37.51}, '款式': {'体积': 28.87, '便携': 55.26, '时尚': 37.51, '机身': 34.48, '触感': 0.0, '金色': 0.0, '颜色': 24.6, '充电式': 0.0}, '质量': {'做工': 60.38, '吸力': 16.03, '声音': 80.32, '手柄': 0.0, '材质': 34.96, '质感': 46.76, '质量': 71.75, '重量': 69.31, '震动力': 37.51}}"
422,pza,9901,{'功能': {}}
423,pza,9902,"{'功能': {}, '服务': {'态度': 11.47}}"
424,real bubee,RBMJ-001,"{'服务': {'包装': 12.8}, '质量': {'做工': 27.34, '光照': 54.77, '稳定性': 0.0}}"
425,real bubee,RBX-601,"{'功能': {'保湿': 28.87, '屏幕': 69.31, '提拉': 29.57, '污垢': 59.12, '粉刺': 47.96, '紧致': 23.79, '螨虫': 0.0, '血丝': 0.0, '起皮': 0.0, '去角质': 0.0, '去黑头': 84.67, '实用性': 32.7, '清洁度': 37.51, '脂肪粒': 82.37, '毛孔堵塞': 0.0}, '服务': {'信誉': 37.51, '包装': 87.15, '卖家': 78.22, '发货': 0.0, '口碑': 0.0, '客服': 47.3, '态度': 71.07, '申通': 0.0, '顺丰': 25.69, '快递员': 0.0, '说明书': 69.31, '售后服务': 34.96}, '款式': {'体积': 45.4, '可调': 0.0, '吸头': 80.76, '圆头': 0.0, '大号': 0.0, '气泡': 0.0, '白色': 27.53, '颜色': 24.6, '鼻膜': 0.0, '充电式': 0.0, '小气泡': 46.1, '高大上': 0.0, '方便使用': 0.0}, '质量': {'做工': 54.93, '力道': 42.07, '功率': 31.87, '动力': 43.86, '变粗': 0.0, '吸力': 77.44, '声音': 56.55, '强度': 60.87, '报告': 0.0, '接口': 69.31, '材质': 39.99, '疗效': 0.0, '盖子': 0.0, '红红': 0.0, '质感': 50.36, '质量': 63.24, '配件': 63.09, '颗粒': 0.0, '刺激性': 0.0, '期望值': 0.0, '耐受性': 0.0, '使用寿命': 0.0, '质量上乘': 0.0}}"
426,refa,H10,
427,real bubee,RBX-801,"{'功能': {'上妆': 32.7, '提拉': 34.96, '斑点': 58.23, '水嫩': 22.28, '污垢': 59.12, '紧致': 19.66, '补水': 37.51, '郊果': 0.0, '去黑头': 20.57, '实用性': 32.7, '脂肪粒': 30.69, '毛孔堵塞': 0.0, '毛孔粗大': 47.96}, '服务': {'包装': 75.78, '包裹': 45.4, '卖家': 76.47, '发货': 0.0, '客服': 50.13, '态度': 61.15, '申通': 0.0, '系统': 0.0, '证件': 0.0, '说明书': 54.24}, '款式': {'三档': 54.77, '体积': 53.06, '大气': 33.8, '成分': 0.0, '按键': 45.4, '时尚': 37.51, '机身': 34.48, '电流': 16.39, '白色': 37.51, '颜色': 24.6, '黄色': 0.0, '超声波': 61.77}, '质量': {'做工': 37.53, '动力': 43.86, '吸力': 11.06, '声音': 40.58, '外壳': 0.0, '手柄': 0.0, '报告': 0.0, '振幅': 0.0, '材质': 39.99, '瑕疵': 58.23, '质感': 50.36, '质量': 54.92}}"
428,refa,CAXA UP,"{'服务': {'包装': 14.09, '态度': 14.52}, '款式': {'电流': 28.02}, '质量': {'质量': 12.89}}"
429,refa,CARAT RAY,"{'功能': {'草莓': 0.0}, '服务': {'包装': 14.09, '态度': 13.07, '有问必答': 37.51}, '款式': {'机身': 34.48}, '质量': {'滚珠': 0.0, '质量': 12.89}}"
430,refa,RF-PC2019B,{'服务': {'卖家': 15.64}}
431,refa,S CARAT,"{'服务': {'包装': 12.8, '卖家': 18.01, '客服': 18.46, '直邮': 0.0}, '质量': {'质量': 14.18}}"
432,refa,刮痧板,"{'功能': {'黑眼圈': 33.8}, '服务': {'包装': 12.8, '态度': 11.47}, '款式': {'紫色': 0.0}, '质量': {'做工': 27.34, '质感': 31.53}}"
433,refa,加强版刮痧板,"{'服务': {'包装': 14.09, '直邮': 0.0}}"
434,refa,头部按摩,
435,refa,按摩仪,{'款式': {}}
436,refa,经典升级,"{'服务': {'包装': 9.84, '卖家': 15.64, '态度': 9.67, '直邮': 0.0}, '款式': {'体积': 45.4}, '质量': {'配件': 34.48}}"
437,refa,麦当娜,"{'功能': {'去黑头': 30.16}, '服务': {'客服': 18.46, '直邮': 0.0}, '款式': {}, '质量': {'滚珠': 0.0, '质感': 39.41, '重量': 58.23}}"
438,rekossy/蕾卡诗,HT-10,"{'功能': {'污垢': 31.16, '洁面': 28.87, '粉刺': 47.96, '补水': 32.7, '通透': 47.96, '光泽度': 37.51, '去黑头': 74.59, '实用性': 50.87, '白嫩嫩': 0.0, '脂肪粒': 72.26, '青春痘': 0.0, '效果显著': 0.0, '毛孔堵塞': 0.0, '毛孔粗大': 58.23}, '服务': {'包装': 69.48, '包裹': 45.4, '卖家': 56.52, '发货': 0.0, '客服': 48.24, '态度': 66.06, '消息': 0.0, '顺丰': 41.07, '说明书': 39.99, '售后服务': 29.57, '有问必答': 37.51}, '款式': {'时尚': 37.51, '档位': 43.86, '蓝光': 34.48, '颜色': 38.67, '鼻膜': 0.0, '小气泡': 46.1, '方便使用': 0.0}, '质量': {'做工': 56.26, '力道': 32.7, '变粗': 0.0, '吸力': 57.7, '声音': 60.25, '材质': 34.96, '质感': 39.41, '质量': 67.22, '配件': 57.28, '安全性': 0.0}}"
439,rowan,NF-AP530,"{'服务': {'卖家': 15.64}, '质量': {'吸力': 18.04}}"
440,seemask,PB-LITH-001,
441,runve/嫩芙,AR-781,"{'功能': {'冰敷': 18.58, '水嫩': 22.28, '污垢': 59.12, '粉刺': 31.87, '补水': 32.7, '通透': 47.96, '去角质': 0.0, '去黑头': 55.85, '实用性': 50.87, '汗毛孔': 0.0, '脂肪粒': 46.33, '青春痘': 0.0, '效果显著': 0.0, '毛孔堵塞': 0.0, '毛孔粗大': 58.23}, '服务': {'包装': 55.07, '卖家': 35.54, '客服': 46.35, '态度': 44.48, '顺丰': 61.77, '说明书': 34.96, '有问必答': 37.51}, '款式': {'三档': 47.96, '体积': 53.06, '吸头': 50.87, '大气': 47.96, '时尚': 37.51, '机身': 20.64, '白色': 21.77, '金色': 0.0, '颜色': 34.61, '黑色': 42.82, '小气泡': 51.67, '按摩器': 37.51}, '质量': {'做工': 61.83, '力道': 69.31, '功率': 18.58, '动力': 43.86, '吸力': 61.09, '声音': 51.25, '底座': 59.73, '设备': 25.69, '质感': 78.52, '质量': 48.79, '配件': 46.1}}"
442,runve/嫩芙,AR-782,"{'功能': {'污垢': 22.24, '去黑头': 30.16}, '服务': {'包装': 15.28, '卖家': 15.64, '客服': 20.57, '态度': 11.47}, '款式': {'小气泡': 40.43}, '质量': {'力道': 50.87, '吸力': 16.03, '质感': 31.53, '质量': 12.89, '刺激性': 0.0}}"
443,runve/嫩芙,AR-783,"{'服务': {'包装': 14.09, '态度': 13.07}, '款式': {'机身': 34.48}, '质量': {'吸力': 13.74}}"
444,sa.ad.na,333,"{'功能': {'痘印': 28.87, '去黑头': 28.8}, '服务': {}, '款式': {'硅胶': 0.0}, '质量': {'质量': 12.89}}"
445,sa.ad.na,马卡龙,"{'服务': {'包装': 18.42, '卖家': 12.87, '态度': 19.31}, '款式': {'按键': 28.87, '档位': 43.86, '硅胶': 0.0, '蓝色': 0.0, '颜色': 24.6}, '质量': {'刷毛': 21.77, '声音': 53.0, '外壳': 0.0, '开关': 42.07, '气味': 0.0, '质量': 15.37}}"
446,sangho/桑厚,TBS超声波,"{'功能': {'渗透性': 42.07}, '服务': {'包装': 12.8, '卖家': 15.64, '客服': 18.46, '态度': 19.31}, '质量': {'声音': 49.51, '质感': 31.53, '质量': 12.89}}"
447,sangho/桑厚,TBS超声波8026,"{'功能': {'保湿': 60.87, '斑点': 37.51, '水嫩': 69.31, '水润': 0.0, '瘦脸': 42.07, '祛皱': 47.96, '粉刺': 18.58, '紧致': 57.15, '细纹': 33.32, '补水': 42.07, '雾化': 79.16, '光泽度': 37.51, '去黑头': 16.06, '抬头纹': 43.86, '法令纹': 29.09, '渗透性': 80.76, '白嫩嫩': 0.0, '青春痘': 0.0, '黑眼圈': 77.95}, '服务': {'信誉': 69.31, '包装': 75.07, '包裹': 37.51, '包邮': 0.0, '卖家': 69.28, '客服': 65.25, '态度': 77.23, '证件': 0.0, '说明书': 29.57, '办事效率': 0.0, '售后服务': 39.99, '有问必答': 47.96}, '款式': {'双头': 0.0, '容量': 0.0, '成分': 0.0, '档位': 43.86, '蓝光': 34.48, '黑色': 37.51, '超声波': 47.96}, '质量': {'主机': 0.0, '亮度': 0.0, '做工': 45.81, '功率': 31.87, '动力': 43.86, '塑料': 0.0, '声音': 68.62, '材质': 54.24, '设备': 37.51, '质感': 35.56, '质量': 76.46, '配件': 34.48, '面料': 0.0, '充电器': 0.0, '穿透性': 84.52}}"
448,sangho/桑厚,TBS超声波9026,"{'服务': {'包装': 12.8, '客服': 20.57, '态度': 11.47}}"
449,sangho/桑厚,超音波,"{'功能': {'上妆': 27.53, '保湿': 28.87, '斑点': 25.69, '毒素': 50.87, '水嫩': 34.74, '瘦脸': 42.07, '祛皱': 35.3, '补水': 32.7, '雾化': 45.4, '渗透性': 59.73, '无副作用': 0.0}, '服务': {'信誉': 37.51, '包装': 69.48, '包裹': 37.51, '卖家': 56.52, '口碑': 0.0, '客服': 40.45, '态度': 76.36}, '款式': {'颜色': 21.31, '三部曲': 0.0, '超声波': 15.89, '高大上': 0.0}, '质量': {'主机': 0.0, '做工': 48.42, '光照': 41.07, '声音': 58.38, '底层': 0.0, '材质': 69.31, '质量': 83.56, '重量': 47.96, '穿透性': 40.43, '美容器': 0.0}}"
450,sangho/桑厚,钛金TBS,"{'服务': {'包装': 12.8, '卖家': 15.64}, '质量': {'质量': 15.37}}"
451,seemask,LED生物光面膜,"{'功能': {'粉刺': 37.51}, '服务': {'包装': 17.44, '客服': 20.57, '态度': 11.47, '说明书': 29.57}, '款式': {'硅胶': 0.0, '蓝光': 20.64, '面具': 0.0}, '质量': {'做工': 27.34, '质量': 12.89}}"
452,show young,SY-D500,"{'功能': {'痘印': 85.11, '粉刺': 63.59, '补水': 37.51, '去黑头': 27.37, '抬头纹': 43.86, '毛孔堵塞': 0.0}, '服务': {'包装': 58.0, '卖家': 32.1, '口碑': 0.0, '客服': 45.39, '态度': 48.7, '说明书': 29.57}, '款式': {'大气': 41.07, '尺寸': 0.0, '激光': 47.96, '电流': 20.64, '白色': 32.7, '蓝光': 34.48, '面积': 60.87, '颜色': 24.6, '黑色': 58.23}, '质量': {'做工': 37.53, '刺痛': 47.96, '塑料': 0.0, '声音': 40.58, '外壳': 0.0, '质量': 31.73}}"
453,show young,SY-S350,"{'功能': {'提拉': 29.57, '水嫩': 18.58, '水肿': 47.96, '祛皱': 39.66, '紧致': 27.26, '法令纹': 34.24, '黑眼圈': 41.07}, '服务': {'包装': 36.15, '卖家': 22.0, '口碑': 0.0, '客服': 24.23, '态度': 28.52, '顺丰': 15.89}, '款式': {'换头': 0.0, '时尚': 37.51, '智能': 0.0, '电流': 43.29, '红光': 43.86, '蓝光': 34.48}, '质量': {'做工': 32.82, '光照': 41.07, '声音': 53.0, '接口': 69.31, '柔滑': 0.0, '瑕疵': 69.31, '质感': 43.13, '质量': 31.73, '美容器': 0.0}}"
454,show young,SY-S350B,"{'功能': {'法令纹': 22.73}, '服务': {'包装': 12.8, '口碑': 0.0, '客服': 18.46}}"
455,show young,SY-S350SE,"{'功能': {'上妆': 37.51, '冰敷': 18.58, '嫩肤': 0.0, '提拉': 34.96, '水嫩': 53.06, '水润': 0.0, '瘦脸': 50.87, '眼袋': 37.51, '祛皱': 74.31, '粉刺': 25.69, '紧致': 84.67, '细纹': 79.16, '补水': 42.07, '赘肉': 0.0, '通透': 47.96, '抬头纹': 86.43, '法令纹': 76.13, '消水肿': 0.0, '表情纹': 0.0, '鱼尾纹': 0.0, '黑眼圈': 47.96, '毛孔堵塞': 0.0, '血液循环': 0.0}, '服务': {'信誉': 37.51, '包装': 81.54, '包裹': 53.06, '包邮': 0.0, '卖家': 47.31, '客服': 54.88, '态度': 61.67, '顺丰': 69.31, '说明书': 44.81, '有问必答': 58.23}, '款式': {'三档': 69.31, '体积': 28.87, '便携': 55.26, '大气': 41.07, '按键': 45.4, '时尚': 37.51, '档位': 77.01, '电流': 66.13, '白色': 42.07, '粉色': 74.31, '线条': 37.51, '触感': 0.0, '颜色': 80.32, '风格': 0.0, '粉红色': 58.23, '超声波': 33.8, '美观大方': 0.0, '胶原蛋白': 0.0}, '质量': {'做工': 66.45, '刺痛': 83.01, '声音': 60.25, '射频': 25.69, '材质': 39.99, '质感': 65.23, '质量': 67.75}}"
456,show young,SY-水精灵,
457,silk’n,2836-MOVN,
458,silk’n,BLUE,"{'服务': {'包装': 12.8, '客服': 20.57, '态度': 11.47}, '质量': {'做工': 27.34}}"
459,silk’n,FACE TITE,"{'功能': {'嫩肤': 0.0, '干纹': 0.0, '提拉': 29.57, '痘印': 28.87, '痤疮': 0.0, '祛皱': 30.69, '紧致': 27.26, '细纹': 53.06, '光泽度': 37.51, '法令纹': 40.84, '黑眼圈': 33.8, '毛孔粗大': 25.69, '温度控制': 0.0}, '服务': {'包装': 26.26, '卖家': 15.64, '客服': 31.46, '态度': 29.21, '说明书': 34.96, '售后服务': 29.57}, '款式': {'三档': 47.96, '大气': 33.8, '机身': 34.48, '黑色': 75.64}, '质量': {'做工': 27.34, '温控': 0.0, '质感': 43.13, '质量': 18.52}}"
460,silk’n,FACE TITE2.0,"{'功能': {'上妆': 42.07, '变白': 0.0, '干纹': 0.0, '微热': 0.0, '提拉': 34.96, '水嫩': 18.58, '水润': 0.0, '泛红': 0.0, '痘印': 49.24, '眼袋': 45.4, '祛皱': 47.96, '紧致': 42.5, '细纹': 37.51, '光泽度': 58.23, '去角质': 0.0, '法令纹': 62.74, '黑眼圈': 54.77, '省时省力': 0.0}, '服务': {'包装': 47.37, '卖家': 26.83, '客服': 52.97, '态度': 34.75, '换货': 0.0, '顺丰': 61.77, '说明书': 39.99, '售后服务': 34.96, '有问必答': 47.96}, '款式': {'三档': 47.96, '体积': 45.4, '容量': 0.0, '按键': 45.4, '机身': 51.67, '档位': 22.99, '红光': 39.66, '红灯': 0.0, '纹路': 50.87, '线条': 28.87, '触感': 0.0, '面积': 60.87, '颜色': 21.31, '胶原蛋白': 0.0}, '质量': {'亮度': 0.0, '做工': 38.99, '功率': 31.87, '塑料': 0.0, '底层': 0.0, '强度': 45.4, '温控': 0.0, '电源': 0.0, '红红': 0.0, '质感': 43.13, '质量': 17.53, '配件': 40.43, '重量': 69.31, '含水量': 0.0, '期望值': 0.0, '耐受性': 0.0, '使用寿命': 0.0, '生产日期': 0.0}}"
461,silk’n,FX,"{'功能': {'紧致': 19.66, '细纹': 24.02}, '服务': {'包装': 12.8, '客服': 18.46}}"
462,silk’n,SENSEPIL,"{'服务': {'包装': 14.09, '卖家': 15.64, '口碑': 0.0, '客服': 18.46, '态度': 13.07}, '质量': {'声音': 51.25}}"
463,silk’n,SILHOUETTE,"{'服务': {'态度': 11.47}, '款式': {'体积': 28.87}, '质量': {'温控': 0.0}}"
464,silk’n,Silk''n Face Tite2.0,"{'功能': {'祛皱': 25.69, '光泽度': 37.51}, '服务': {'包装': 14.09, '卖家': 12.87, '客服': 16.06, '态度': 11.47, '顺丰': 41.07}, '款式': {'三档': 33.8}, '质量': {'质量': 12.89}}"
465,skg,3208,"{'功能': {'紧致': 19.66, '法令纹': 22.73}, '服务': {'包装': 12.8, '客服': 20.57}, '款式': {'电流': 24.48}, '质量': {'质量': 12.89}}"
466,skg,3220,"{'功能': {'细纹': 24.02}, '服务': {'卖家': 15.64, '态度': 15.85}, '款式': {'机身': 34.48}, '质量': {'做工': 29.28, '质量': 12.89}}"
467,skg,3224,"{'功能': {'水润': 0.0, '去黑头': 27.37}, '服务': {'包装': 20.25, '卖家': 15.64, '客服': 20.57, '态度': 22.24, '说明书': 29.57}, '款式': {'离子': 0.0, '黑色': 42.82, '方便使用': 0.0}, '质量': {'做工': 29.28, '光照': 54.77, '质量': 20.35}}"
468,skg,4112,"{'功能': {'上妆': 27.53, '微震': 0.0, '水嫩': 22.28, '脂肪粒': 33.49}, '服务': {'包装': 22.71, '卖家': 18.01, '口碑': 0.0, '客服': 24.23, '态度': 23.98, '说明书': 29.57}, '款式': {'体积': 45.4, '时尚': 37.51, '颜色': 21.31}, '质量': {'做工': 22.9, '声音': 46.02, '振幅': 0.0, '质量': 25.01}}"
469,todom,HRF-10T,
470,snegdo/胜稻,1603,"{'功能': {'上妆': 27.53, '水嫩': 14.46, '祛皱': 25.69, '紧致': 19.66, '光泽度': 37.51}, '服务': {'包装': 37.1, '包裹': 45.4, '卖家': 22.0, '客服': 22.48, '态度': 27.1}, '款式': {'大气': 33.8, '颜色': 21.31, '按摩器': 37.51}, '质量': {'做工': 27.34, '强度': 45.4, '质感': 31.53, '质量': 34.84}}"
471,snegdo/胜稻,IF-1601,"{'功能': {'上妆': 27.53, '水嫩': 22.28}, '服务': {'包装': 14.09}, '款式': {}, '质量': {'质量': 14.18}}"
472,songsun/松盛,SN,"{'功能': {'斑点': 47.96, '实用性': 42.07, '效果显著': 0.0}, '服务': {'包装': 62.89, '包裹': 45.4, '卖家': 30.87, '客服': 28.8, '态度': 41.08, '说明书': 34.96}, '款式': {'便携': 21.77, '大气': 47.96, '时尚': 58.23, '档位': 43.86, '红色': 58.23, '颜色': 68.62, '黑色': 47.96, '高大上': 0.0, '方便使用': 0.0}, '质量': {'做工': 40.41, '质感': 31.53, '质量': 56.59}}"
473,songsun/松盛,X1,"{'服务': {'包装': 16.39, '卖家': 20.11, '客服': 18.46, '态度': 17.08, '售后服务': 29.57}, '款式': {'激光': 69.31, '红色': 47.96, '触感': 0.0, '颜色': 30.04}, '质量': {'做工': 31.1, '功率': 31.87, '质量': 19.46, '配件': 34.48, '针头': 50.87}}"
474,songsun/松盛,X2,"{'功能': {'斑点': 25.69, '雀斑': 0.0, '黑痣': 0.0, '渗透性': 32.7, '老年斑': 0.0, '脂肪粒': 27.74}, '服务': {'信誉': 58.23, '包装': 66.28, '包裹': 37.51, '卖家': 57.47, '发货': 0.0, '客服': 52.02, '态度': 53.82, '说明书': 29.57, '售后服务': 29.57, '有问必答': 58.23}, '款式': {'三档': 54.77, '便携': 21.77, '大气': 61.77, '时尚': 47.96, '机身': 40.43, '档位': 62.49, '粉色': 30.69, '红色': 83.01, '面积': 45.4, '颜色': 73.76, '风格': 0.0, '充电式': 0.0, '玫瑰金': 0.0, '美观大方': 0.0}, '质量': {'做工': 63.31, '创伤': 0.0, '创面': 0.0, '功率': 47.96, '强度': 28.87, '设备': 37.51, '质感': 39.41, '质量': 68.29, '配件': 76.26, '重量': 58.23, '针头': 42.07}}"
475,syneron/赛诺龙,ME灯头套餐,"{'服务': {'态度': 13.07}, '质量': {'质量': 12.89}}"
476,talika/塔莉卡,TA598,{'服务': {'客服': 18.46}}
477,tefeishi,T-212,"{'功能': {'上妆': 21.77, '保湿': 28.87, '冰敷': 47.96, '变白': 0.0, '嫩肤': 0.0, '屏幕': 47.96, '斑点': 25.69, '水嫩': 22.28, '污垢': 31.16, '痘印': 28.87, '眼袋': 45.4, '祛皱': 35.3, '紧致': 23.79, '去黑头': 30.16, '法令纹': 26.12, '血液循环': 0.0}, '服务': {'信誉': 58.23, '包装': 36.63, '卖家': 33.29, '客服': 49.19, '态度': 45.9, '说明书': 16.74, '退换货': 0.0, '售后服务': 29.57, '有问必答': 37.51}, '款式': {'按键': 45.4, '机身': 40.43, '档位': 37.51, '电流': 24.48, '白色': 32.7, '红光': 64.7, '红色': 37.51, '蓝光': 63.09, '黄色': 0.0, '胶原蛋白': 0.0}, '质量': {'做工': 36.02, '吸力': 13.74, '材质': 39.99, '质感': 39.41, '质量': 27.66, '配件': 34.48}}"
478,the beautools/优姬美器,FACE,"{'服务': {'包装': 12.8, '态度': 11.47}, '款式': {}, '质量': {'质量': 12.89}}"
479,the beautools/优姬美器,FACEPUMP,"{'功能': {'提拉': 23.62, '水肿': 47.96, '瘦脸': 42.07, '去角质': 0.0, '法令纹': 26.12}, '服务': {'包装': 15.28, '卖家': 22.0, '客服': 20.57, '态度': 19.31}, '款式': {'三档': 47.96, '大气': 25.69, '机身': 34.48, '电流': 46.1, '白色': 37.51, '红光': 43.86, '线条': 18.58, '颜色': 21.31, '黑色': 53.06}, '质量': {'质感': 31.53}}"
480,the beautools/优姬美器,ROCKLEAN,"{'功能': {'去黑头': 31.46}, '服务': {'包装': 15.28, '卖家': 12.87, '客服': 18.46, '态度': 13.07}, '款式': {'颜色': 21.31}, '质量': {'声音': 53.0, '质量': 12.89}}"
481,the beautools/优姬美器,TBFP-01W,"{'功能': {'上妆': 27.53, '提拉': 75.13, '水肿': 47.96, '污垢': 28.52, '痘印': 33.32, '瘦脸': 32.7, '祛皱': 35.3, '紧致': 35.62, '细纹': 24.02, '去黑头': 28.8, '法令纹': 46.81, '消水肿': 0.0, '黑眼圈': 33.8}, '服务': {'包装': 50.19, '包裹': 37.51, '卖家': 22.0, '客服': 30.16, '态度': 31.16, '顺丰': 61.77}, '款式': {'三档': 15.89, '体积': 18.58, '按键': 45.4, '机型': 0.0, '机身': 76.26, '电流': 80.17, '白色': 32.7, '线条': 69.31, '黑金': 0.0, '待机时间': 0.0}, '质量': {'假货': 47.96, '做工': 32.82, '刺痛': 37.51, '力道': 50.87, '塑料': 0.0, '外壳': 0.0, '质感': 50.36, '质量': 16.49, '重量': 58.23, '耐受性': 0.0}}"
482,the beautools/优姬美器,TBFP-01W  TBR-01W / TBBP-01W,"{'功能': {'去黑头': 31.46, '脂肪粒': 30.69}, '服务': {'态度': 11.47}, '款式': {'电流': 20.64}}"
483,the beautools/优姬美器,TBFP-02G,"{'功能': {'提拉': 49.53, '水嫩': 18.58, '痘印': 33.32, '瘦脸': 32.7, '紧致': 30.31, '细纹': 28.87, '法令纹': 65.01, '消水肿': 0.0}, '服务': {'包装': 36.63, '卖家': 18.01, '客服': 27.37, '态度': 29.21, '顺丰': 41.07, '说明书': 34.96}, '款式': {'三档': 61.77, '便携': 27.53, '机身': 69.31, '档位': 30.69, '电流': 69.31, '白色': 32.7, '纹路': 42.07, '线条': 45.4, '触感': 0.0, '颜色': 21.31, '黑色': 47.96, '黑金': 0.0}, '质量': {'力道': 50.87, '吸力': 13.74, '盖子': 0.0, '质感': 43.13, '质量': 22.03, '重量': 69.31, '升级版': 0.0, '疼痛感': 0.0, '耐受性': 0.0}}"
484,the beautools/优姬美器,TBR-01W,"{'服务': {'包装': 12.8, '卖家': 12.87, '态度': 11.47}}"
485,the beautools/优姬美器,TBR-02G,"{'功能': {'保湿': 37.51, '提拉': 29.57, '水雾': 28.87, '污垢': 55.24, '祛皱': 35.3, '粉刺': 58.23, '起皮': 0.0, '去黑头': 78.03, '法令纹': 26.12, '脂肪粒': 61.2}, '服务': {'包装': 49.79, '卖家': 18.01, '客服': 33.91, '态度': 31.79, '顺丰': 61.77, '快递员': 0.0, '说明书': 16.74}, '款式': {'图案': 0.0, '尺寸': 0.0, '机身': 51.67, '电流': 31.34, '白色': 27.53, '触感': 0.0, '金色': 0.0, '颜色': 24.6, '黑色': 69.31, '黑金': 0.0, '硅胶套': 0.0}, '质量': {'做工': 34.46, '刺痛': 47.96, '力道': 69.31, '功率': 31.87, '动力': 43.86, '声波': 0.0, '声音': 40.58, '强度': 45.4, '材质': 23.62, '气味': 0.0, '盖子': 0.0, '质感': 65.23, '质量': 21.21, '配件': 34.48, '重量': 47.96, '颗粒': 0.0, '刺激性': 0.0, '期望值': 0.0, '电流声': 0.0, '疼痛感': 0.0, '金属头': 0.0, '使用寿命': 0.0}}"
486,time master,III,
487,the beautools/优姬美器,TBRKFP02,"{'功能': {'雾化': 37.51, '去黑头': 33.91, '脂肪粒': 30.69}, '服务': {'包装': 12.8, '态度': 7.62}, '款式': {}, '质量': {'做工': 27.34, '颗粒': 0.0}}"
488,the beautools/优姬美器,黑金版,"{'功能': {'去黑头': 31.46, '脂肪粒': 30.69}, '服务': {'包装': 14.09, '卖家': 18.01, '态度': 13.07}, '款式': {'颜色': 21.31, '黑色': 53.06}, '质量': {'做工': 29.28, '质量': 12.89}}"
489,todom,628A,
490,time master,水美人,"{'服务': {'包装': 12.8, '卖家': 15.64}, '款式': {'大气': 33.8}, '质量': {'质量': 12.89}}"
491,todom,628B,"{'服务': {'包装': 12.8, '说明书': 29.57}, '质量': {'质量': 12.89}}"
492,todom,628F,"{'服务': {'卖家': 15.64}, '款式': {}}"
493,todom,628T,"{'服务': {'卖家': 15.64, '客服': 22.48, '态度': 14.52}, '质量': {'质量': 12.89}}"
494,todom,638A,"{'功能': {}, '服务': {'包装': 12.8, '包裹': 37.51, '卖家': 12.87, '态度': 14.52, '说明书': 29.57}, '质量': {'质量': 15.37}}"
495,todom,DT-2331,"{'功能': {'发烫': 0.0, '郊果': 0.0}, '服务': {'包装': 16.39, '卖家': 20.11, '客服': 27.37, '态度': 23.13, '说明书': 29.57, '售后服务': 29.57}, '款式': {'粉色': 30.69}, '质量': {'功率': 42.82, '强度': 45.4, '材质': 34.96, '质量': 22.81}}"
496,todom,DT-520,"{'服务': {'包装': 15.28, '卖家': 20.11, '客服': 18.46, '态度': 14.52}, '款式': {'粉色': 30.69}, '质量': {'光照': 61.77, '质量': 27.02}}"
497,todom,DT-620,"{'服务': {'包装': 14.09, '卖家': 15.64, '客服': 24.23, '态度': 18.23}, '款式': {'粉色': 30.69, '面积': 45.4, '颜色': 27.46}, '质量': {'亮度': 0.0, '做工': 27.34, '光照': 77.95, '声音': 53.0, '底座': 50.87, '质量': 36.3}}"
498,todom,DT-717,"{'服务': {'态度': 15.85}, '款式': {'支架': 0.0}, '质量': {'光照': 41.07, '底座': 50.87, '质量': 17.53}}"
499,toktik,H002,"{'功能': {'去黑头': 30.16}, '服务': {'包装': 16.39}, '质量': {'做工': 27.34, '吸力': 7.78}}"
500,touchbeauty,TB-1587,"{'功能': {'微震': 0.0, '细纹': 24.02}, '服务': {'包装': 16.39, '卖家': 18.01, '态度': 14.52}, '款式': {'电流': 28.02}, '质量': {'做工': 27.34, '声音': 53.0, '强度': 45.4, '材质': 23.62, '质感': 31.53, '质量': 16.49}}"
501,touchbeauty,TB-1681,"{'功能': {'水嫩': 18.58, '水润': 0.0}, '服务': {'包装': 20.25, '卖家': 18.01, '态度': 19.31}, '款式': {'机身': 34.48}, '质量': {'做工': 31.1, '塑料': 0.0, '质感': 31.53, '质量': 21.21, '震动力': 37.51}}"
502,touchbeauty,TB-1693,"{'功能': {'补水': 32.7}, '服务': {'包装': 19.36, '卖家': 15.64, '客服': 20.57, '态度': 15.85, '顺丰': 41.07}, '款式': {'按键': 28.87}, '质量': {'质量': 14.18}}"
503,tria,AGE-DEFYING LASE,{'服务': {'卖家': 15.64}}
504,tripollar,POSE,"{'功能': {'水嫩': 18.58, '紧致': 30.31, '法令纹': 34.24}, '服务': {'包装': 30.5, '卖家': 22.0, '客服': 38.37, '态度': 31.16, '顺丰': 41.07}, '款式': {'机身': 40.43, '白色': 46.5, '粉色': 30.69, '线条': 28.87, '面积': 53.06, '颜色': 17.38, '黑色': 63.59, '待机时间': 0.0, '胶原蛋白': 0.0}, '质量': {'做工': 27.34, '功率': 58.23, '强度': 45.4, '接口': 47.96, '盖子': 0.0, '红红': 0.0, '质感': 27.21, '质量': 19.46, '重量': 47.96}}"
